Subject,Epoch,Train_Loss,Train_Acc,Train_Sens,Train_Spec,Val_Loss,Val_Acc,Val_Sens,Val_Spec,Val_F1,Acc_Gap,LR
Patient_1,1,0.6926874736699548,0.5258282405918302,0.609062980030722,0.44174317858528384,0.7577776908874512,0.40229885057471265,1.0,0.0,0.5737704918032787,0.12352939001711755,5e-05
Patient_1,2,0.676526871973595,0.5689932454165326,0.6220249581886016,0.5159547092125579,0.7697565754254659,0.40229885057471265,1.0,0.0,0.5737704918032787,0.16669439484181997,5e-05
Patient_1,3,0.6561224269278255,0.611193309745899,0.6138117283950617,0.6085725318573819,0.8266485631465912,0.39655172413793105,0.9857142857142858,0.0,0.5679012345679012,0.21464158560796798,5e-05
Patient_1,4,0.6320247537314646,0.6517851399163718,0.6423131534787659,0.6611951782508335,0.9010091225306193,0.39655172413793105,0.9428571428571428,0.028846153846153848,0.5569620253164557,0.2552334157784407,5e-05
Patient_1,5,0.6048488899022954,0.6841428111933098,0.6718206416698879,0.6964285714285714,0.9242128332455953,0.41954022988505746,0.8571428571428571,0.125,0.5429864253393665,0.2646025813082523,5e-05
Patient_1,6,0.582412464873781,0.6983596011579286,0.6830310880829016,0.7134824281150159,0.9372339646021525,0.4425287356321839,0.7857142857142857,0.21153846153846154,0.5314009661835749,0.2558308655257447,5e-05
Patient_1,7,0.5499197440873448,0.7285300739787713,0.7242524916943521,0.7328669516776785,0.9095699389775594,0.47126436781609193,0.6857142857142857,0.3269230769230769,0.5106382978723404,0.2572657061626794,5e-05
Patient_1,8,0.5325558933701535,0.7409456416854294,0.7248919732879403,0.7564491654021245,0.897274911403656,0.4827586206896552,0.6142857142857143,0.3942307692307692,0.48863636363636365,0.25818702099577423,2.5e-05
Patient_1,9,0.5195240331775367,0.7498874236088775,0.742641312841886,0.7569594508707258,0.9184179703394572,0.5057471264367817,0.6142857142857143,0.4326923076923077,0.5,0.24414029717209584,2.5e-05
Patient_1,10,0.5047129149790164,0.7621100032164683,0.7664564943253468,0.7575837163493105,0.9138141671816508,0.4827586206896552,0.5428571428571428,0.4423076923076923,0.4578313253012048,0.2793513825268131,2.5e-05
Patient_1,11,0.4848567528243909,0.7741395947249919,0.7751556016597511,0.7731392825226605,0.9389006296793619,0.5057471264367817,0.5428571428571428,0.4807692307692308,0.4691358024691358,0.2683924682882103,2.5e-05
Patient_1,12,0.4794560159430092,0.7772274043100675,0.7813433805378719,0.7731906218144751,1.001462956269582,0.5,0.5571428571428572,0.46153846153846156,0.4727272727272727,0.27722740431006754,2.5e-05
Patient_1,13,0.4704298315715397,0.7814088131231908,0.7840557275541795,0.7787758244578468,0.9850998719533285,0.5172413793103449,0.4857142857142857,0.5384615384615384,0.4473684210526316,0.2641674338128459,2.5e-05
Patient_1,14,0.45819744161127035,0.7931810871662914,0.7901826188317576,0.796140081799591,0.9790460666020712,0.5229885057471264,0.4714285714285714,0.5576923076923077,0.4429530201342282,0.270192581419165,1.25e-05
Patient_1,15,0.4424601047617908,0.8043100675458347,0.8069035791618901,0.8016636340005199,1.0111099282900493,0.5114942528735632,0.4857142857142857,0.5288461538461539,0.4444444444444444,0.29281581467227147,1.25e-05
Patient_1,16,0.4396336586387069,0.7993567063364426,0.8040293040293041,0.7948360966966207,0.9841941396395365,0.5287356321839081,0.4714285714285714,0.5673076923076923,0.44594594594594594,0.27062107415253456,1.25e-05
