Subject,Epoch,Train_Loss,Train_Acc,Train_Sens,Train_Spec,Val_Loss,Val_Acc,Val_Sens,Val_Spec,Val_F1,Acc_Gap,LR
Patient_2,1,0.6956543383864582,0.5267133089521386,0.47904851921865155,0.5752808988764045,0.6576781928539276,0.8535498248965298,0.15894039735099338,0.888628762541806,0.09448818897637795,-0.3268365159443911,5e-05
Patient_2,2,0.6754782968366206,0.5675783113372556,0.5111111111111111,0.6234382413411356,0.6344716680049897,0.8914358484559057,0.09271523178807947,0.9317725752508361,0.07588075880758807,-0.3238575371186502,5e-05
Patient_2,3,0.6570608028905646,0.6109874383844809,0.5452106675082847,0.6777759974363082,0.6259939324855804,0.8150270614453996,0.12582781456953643,0.8498327759197324,0.061389337641357025,-0.20403962306091872,5e-05
Patient_2,4,0.6355594820177495,0.6468436953410717,0.5763546798029556,0.7174224343675417,0.6035689723491668,0.7828716969118116,0.19205298013245034,0.8127090301003345,0.07837837837837838,-0.1360280015707399,5e-05
Patient_2,5,0.610935629321839,0.6776912068691366,0.6253327070612181,0.7317073170731707,0.6620849204063416,0.5867558102515122,0.4304635761589404,0.5946488294314382,0.09103641456582633,0.0909353966176244,5e-05
Patient_2,6,0.5822856072241884,0.7071871521704564,0.6682692307692307,0.7455033133480593,0.6900798237323761,0.545367717287488,0.46357615894039733,0.5494983277591973,0.08928571428571429,0.16181943488296835,5e-05
Patient_2,7,0.5482886593959053,0.7328669104786134,0.7035398230088495,0.76256,0.7185977852344513,0.5195797516714422,0.48344370860927155,0.5214046822742475,0.08821752265861027,0.2132871588071712,5e-05
Patient_2,8,0.519562823215717,0.7598187311178247,0.7496067945894935,0.7702572347266881,0.8050988972187042,0.4234320280165552,0.5298013245033113,0.4180602006688963,0.08117706747843734,0.3363867031012695,5e-05
Patient_2,9,0.4929687870940581,0.7726983622197487,0.7741120757695343,0.7712638154733301,0.8327482390403748,0.4453995542820758,0.5165562913907285,0.4418060200668896,0.0821917808219178,0.32729880793767296,5e-05
Patient_2,10,0.4649960471288807,0.7944029257433615,0.8045561665357424,0.7840012876227266,0.7724661219120026,0.4953836357847819,0.47019867549668876,0.49665551839464883,0.08222350897510133,0.29901928995857957,5e-05
Patient_2,11,0.44020267776426325,0.8100651931944666,0.8156487931313786,0.8046838407494146,0.7983016395568847,0.4836039477873289,0.4900662251655629,0.48327759197324416,0.08361581920903954,0.32646124540713767,2.5e-05
Patient_2,12,0.4337715039095903,0.815391954205756,0.820660891883221,0.8102143757881463,0.767041985988617,0.5163960522126712,0.47019867549668876,0.5187290969899666,0.08549066827212523,0.2989959019930849,2.5e-05
Patient_2,13,0.41450392322491875,0.8258864684369535,0.8283426741393114,0.8234643928627823,0.7559958243370056,0.5402737981534543,0.44370860927152317,0.5451505016722408,0.08491761723700887,0.2856126702834991,2.5e-05
Patient_2,14,0.40115272030612537,0.8342343774844967,0.8515476942514214,0.8166826769132245,0.8168209981918335,0.49824896529767587,0.47019867549668876,0.49966555183946487,0.08265424912689173,0.3359854121868208,2.5e-05
Patient_2,15,0.39857626793348244,0.8347909047543329,0.8457225248317847,0.8240214646464646,0.8251375687122345,0.49729385546004456,0.4966887417218543,0.4973244147157191,0.08675534991324466,0.33749704929428836,2.5e-05
Patient_2,16,0.3931486131576112,0.8340753696931149,0.8489483747609943,0.8192637258013329,0.858027720451355,0.47628143903215536,0.5099337748344371,0.4745819397993311,0.08560311284046693,0.35779393066095955,2.5e-05
Patient_2,17,0.379778137666925,0.8417872475751312,0.8594118572102531,0.8237658787586428,0.795512764453888,0.5323145495065266,0.4370860927152318,0.537123745819398,0.08244846970643348,0.30947269806860467,1.25e-05
Patient_2,18,0.3675268163838362,0.851168707266656,0.8727069708087414,0.8297669995244888,0.8249754142761231,0.5198981216173193,0.4304635761589404,0.5244147157190635,0.07936507936507936,0.33127058564933676,1.25e-05
Patient_2,19,0.36575509153949426,0.8475115280648752,0.8647404349896809,0.8302277432712215,0.8647947752475739,0.49219993632601083,0.4768211920529801,0.49297658862876254,0.08280621046578493,0.35531159173886434,1.25e-05
